Row,i,lambda_i,theta_i
0,0,8.098371,32.000000
1,1,5.557766,17.000000
2,2,4.290156,16.000000
3,3,3.642720,10.000000
4,4,2.749218,9.000000
5,5,2.660214,9.000000
6,6,2.471409,8.000000
7,7,2.170086,7.000000
8,8,1.461066,6.000000
9,9,1.443189,6.000000
10,10,1.412138,6.000000
11,11,1.379930,6.000000
12,12,1.252476,5.000000
13,13,1.231761,5.000000
14,14,1.167958,5.000000
15,15,1.000000,5.000000
16,16,0.365251,5.000000
17,17,0.362917,5.000000
18,18,0.357999,5.000000
19,19,0.353389,4.000000
20,20,0.334255,4.000000
21,21,0.332257,4.000000
22,22,0.325377,4.000000
23,23,0.311108,4.000000
24,24,0.202623,4.000000
25,25,0.200047,4.000000
26,26,0.193621,4.000000
27,27,0.186800,3.000000
28,28,0.140496,3.000000
29,29,0.134076,3.000000
30,30,0.104782,3.000000
31,31,0.000000,3.000000
32,32,-1.000000,3.000000
33,33,-1.000000,3.000000
34,34,-1.000000,3.000000
35,35,-1.000000,3.000000
36,36,-1.000000,2.000000
37,37,-1.000000,2.000000
38,38,-1.000000,2.000000
39,39,-1.000000,2.000000
40,40,-1.000000,2.000000
41,41,-1.000000,2.000000
42,42,-1.000000,2.000000
43,43,-1.000000,2.000000
44,44,-1.000000,2.000000
45,45,-1.000000,2.000000
46,46,-1.000000,2.000000
47,47,-1.000000,1.000000
48,48,-1.366817,1.000000
49,49,-1.369352,1.000000
50,50,-1.375230,1.000000
51,51,-1.381609,1.000000
52,52,-1.412019,1.000000
53,53,-1.417085,1.000000
54,54,-1.432813,1.000000
55,55,-1.481194,1.000000
56,56,-1.762899,1.000000
57,57,-1.838873,0.000000
58,58,-1.924159,0.000000
59,59,-2.181230,0.000000
60,60,-2.645059,0.000000
61,61,-3.296916,0.000000
62,62,-5.008199,-0.000000
END
